date,symbol,actualEarningResult,estimatedEarning
2020-06-30,0Q16.L,0.37,0.2727
2020-03-31,0Q16.L,0.4,0.4646
2020-06-30,2233.HK,0.138,0.1224
2020-08-19,BBWI,0.25,-0.42
2020-05-20,BBWI,-0.99,-0.72
2020-06-30,TATAELXSI.NS,11.06,10.806999999999999
2020-03-31,TATAELXSI.NS,13.18,0
2020-06-30,0HKM.L,0.15,0.153
2020-03-31,0HKM.L,0.19,0.18359999999999999
2020-05-05,ECVT,0.16,0.1
2020-02-20,ECVT,0.13,0.09
2020-05-05,VIASP,0.2,0.02
2020-03-04,VIASP,-0.55,0.05
2020-06-30,0Q18.L,1.03,0.6464
2020-03-31,0Q18.L,1.6,1.7068999999999999
2020-10-29,ETD,0.36,0.35
2020-08-04,ETD,-0.15,-0.54
2020-02-04,ETD,0.27,0.26
2020-06-30,TATAPOWER.NS,0.61,0.9594999999999999
2020-03-31,TATAPOWER.NS,0.27,1.5756000000000001
2020-06-30,0Q19.L,0.12,0.0408
2020-03-31,0Q19.L,0.11,0.051000000000000004
2020-06-30,ANX.TO,0.035,0.035350000000000006
2020-03-31,ANX.TO,0.035,0.035350000000000006
2020-06-30,ADW-A.TO,0.725,0.1545
2020-03-31,ADW-A.TO,0.075,0.07725
2020-06-30,APY.TO,0.26325000000000004,0.32445000000000007
2020-06-30,APS.TO,-0.735,-0.53025
2020-03-31,APS.TO,-0.525,-0.38885000000000003
2020-06-30,0Q1F.L,1.38,1.0504
2020-03-31,0Q1F.L,0.78,1.8584
2020-06-30,ARX.TO,-0.54,-0.68175
2020-03-31,ARX.TO,-7.11,0.1818
2020-06-30,AR.TO,0.17500000000000002,0.14420000000000002
2020-03-31,AR.TO,0.17500000000000002,0.12873455
2020-06-30,ATZ.TO,-1.0350000000000001,-1.13625
2020-03-31,ATZ.TO,0.945,0.9544499999999999
2020-11-16,ACM,0.6,0.57
2020-11-16,WTER,-0.06,-0.02
2020-11-16,YPF,-1.18,-0.8
