,date,symbol,actualEarningResult,estimatedEarning
0,2021-11-22,A,1.21,1.17
1,2021-08-17,A,1.1,0.99
2,2021-05-25,A,0.97,0.83
3,2021-02-16,A,1.06,0.89
4,2020-11-23,A,0.98,0.93
5,2020-08-18,A,0.78,0.66
6,2020-05-21,A,0.71,0.61
7,2020-02-18,A,0.81,0.81
8,2019-11-25,A,0.89,0.86
9,2019-08-14,A,0.76,0.72
10,2019-05-14,A,0.71,0.72
11,2019-02-20,A,0.76,0.73
12,2018-11-19,A,0.81,0.74
13,2021-10-26,AAN,0.83,0.57
14,2021-07-27,AAN,1.05,0.68
15,2021-04-27,AAN,1.24,0.56
16,2021-02-23,AAN,0.79,0.74
17,2020-10-29,AAN,1.8,1.44
18,2020-07-29,AAN,1.18,0.78
19,2020-05-07,AAN,0.85,0.78
20,2020-02-20,AAN,1.15,1.07
21,2019-11-04,AAN,0.73,0.82
22,2019-07-25,AAN,0.93,0.87
23,2019-04-25,AAN,1.08,0.94
24,2019-02-14,AAN,1.02,1.03
25,2018-10-25,AAN,0.69,0.76
26,2021-11-04,AAOI,-0.2,-0.28
27,2021-08-05,AAOI,-0.15,-0.18
28,2021-05-06,AAOI,-0.21,-0.27
29,2021-02-25,AAOI,-0.2,-0.23
30,2020-11-05,AAOI,-0.06,-0.08
31,2020-08-06,AAOI,-0.24,-0.25
32,2020-05-07,AAOI,-0.44,-0.38
33,2020-02-27,AAOI,-0.18,-0.23
34,2019-11-06,AAOI,-0.15,-0.24
35,2019-08-07,AAOI,-0.26,-0.37
36,2019-05-08,AAOI,-0.27,-0.22
37,2019-02-21,AAOI,-0.02,-0.04
38,2018-11-07,AAOI,0.14,-0.02
39,2021-10-28,AAPL,1.24,1.24
40,2021-07-27,AAPL,1.3,1.01
41,2021-04-28,AAPL,1.4,0.99
42,2021-01-27,AAPL,1.68,1.41
43,2020-10-29,AAPL,0.73,0.7
44,2020-07-30,AAPL,0.65,0.51
45,2020-04-30,AAPL,0.64,0.56
46,2020-01-28,AAPL,1.25,1.14
47,2019-10-30,AAPL,0.76,0.71
48,2019-07-30,AAPL,0.55,0.53
49,2019-04-30,AAPL,0.62,0.59
50,2019-01-29,AAPL,1.05,1.04
51,2018-11-01,AAPL,0.73,0.7
52,2021-10-26,AAT,0.17,0.17
53,2021-07-27,AAT,0.15,0.11
54,2021-04-27,AAT,-0.04,0.03
55,2021-02-09,AAT,0.05,0.14
56,2020-10-27,AAT,0.08,0.16
57,2020-07-28,AAT,0.13,0.11
58,2020-04-28,AAT,0.2,0.31
59,2020-02-11,AAT,0.22,0.25
