date,symbol,eps,epsEstimated,time
2021-11-22,A,1.21,1.17,amc
2021-08-17,A,1.1,0.99,amc
2021-05-25,A,0.71,0.83,amc
2021-02-16,A,0.94,0.89,amc
2020-11-23,A,0.72,0.93,amc
2020-08-18,A,0.644012944983819,0.66,amc
2020-05-21,A,0.33,0.61,amc
2020-02-18,A,0.64,0.81,amc
2019-11-25,A,0.63,0.86,amc
2019-08-14,A,0.61,0.72,amc
2019-05-14,A,0.574132492113565,0.72,amc
2019-02-20,A,1.58,0.73,amc
2018-11-19,A,0.61128526645768,0.74,amc
2018-08-14,A,0.74,0.63,amc
2018-05-14,A,0.64,0.64,amc
2018-02-14,A,-0.99,0.58,amc
2017-11-20,A,0.551401869158878,0.62,amc
2017-08-15,A,0.55,0.52,amc
2017-05-22,A,0.51,0.48,amc
2017-02-14,A,0.521739130434783,0.49,amc
2016-11-15,A,0.388888888888889,0.52,amc
2016-08-17,A,0.381538461538462,0.47,amc
2016-05-16,A,0.279141104294479,0.39,amc
2016-02-16,A,0.373860182370821,0.43,amc
2015-11-16,A,0.43202416918429,0.47,amc
2015-08-17,A,0.310240963855422,0.41,amc
2015-05-18,A,0.248502994011976,0.39,amc
2015-02-17,A,0.214285714285714,0.41,amc
2014-11-17,A,0.0688622754491018,0.89,amc
2014-08-14,A,0.44,0.74,amc
2014-05-14,A,0.417417417417417,0.73,amc
2014-02-13,A,0.67,0.66,amc
2013-11-14,A,0.81,0.76,amc
2013-08-14,A,0.68,0.62,amc
2013-05-14,A,0.77,0.67,amc
2013-02-14,A,0.63,0.67,amc
2012-11-19,A,0.86,0.8,amc
2012-08-15,A,0.79,0.83,amc
2012-05-14,A,0.78,0.73,amc
2012-02-15,A,0.69,0.69,amc
2021-10-14,AA,2.05,1.85,bmo
2021-07-15,AA,1.49,1.35,amc
2021-04-15,AA,0.79,0.46,amc
2021-01-20,AA,0.26,0.11,amc
2020-10-14,AA,-1.17,-1.38,amc
2020-07-15,AA,-0.02,-0.38,amc
2020-04-22,AA,-0.23,-0.24,amc
2020-01-15,AA,-0.31,-0.22,amc
2019-10-16,AA,-0.44,-0.33,amc
2019-07-17,AA,-0.01,-0.13,amc
2019-04-17,AA,-0.23,-0.13,amc
2019-01-16,AA,0.66,0.5,amc
2018-10-17,AA,0.63,0.36,amc
2018-07-18,AA,1.52,1.32,amc
2018-04-18,AA,0.77,0.7,amc
2018-01-17,AA,1.04,1.22,amc
2017-10-18,AA,0.72,0.77,amc
2017-07-19,AA,0.62,0.6,amc
2017-04-24,AA,0.63,0.53,amc
2017-01-24,AA,0.14,0.2,amc
2016-12-01,AA,0.02,0.04,bmo
2021-10-21,AAL,-0.99,-1.04,bmo
2021-07-22,AAL,-1.69,-1.71,bmo
2021-04-22,AAL,-4.32,-4.3,bmo
2021-01-28,AAL,-3.86,-4.11,bmo
2020-10-22,AAL,-5.54,-5.88,bmo
2020-07-23,AAL,-7.82,-7.7,bmo
2020-04-30,AAL,-2.65,-2.33,bmo
2020-01-23,AAL,1.15,1.14,bmo
2019-10-24,AAL,1.42,1.4,bmo
2019-07-25,AAL,1.82,1.8,bmo
2019-04-26,AAL,0.52,0.51,bmo
2019-01-24,AAL,1.04,1.01,bmo
2018-10-25,AAL,1.13,1.13,bmo
2018-07-26,AAL,1.63,1.59,bmo
