KeyError at index: 244, occurence number: 'historical'
KeyError at index: 1193, occurence number: 'historical'
KeyError at index: 1281, occurence number: 'historical'
KeyError at index: 1572, occurence number: 'historical'
KeyError at index: 1855, occurence number: 'historical'
KeyError at index: 2153, occurence number: 'historical'
KeyError at index: 2274, occurence number: 'historical'
KeyError at index: 2275, occurence number: 'historical'
KeyError at index: 2276, occurence number: 'historical'
KeyError at index: 2277, occurence number: 'historical'
KeyError at index: 2278, occurence number: 'historical'
KeyError at index: 2279, occurence number: 'historical'
KeyError at index: 2280, occurence number: 'historical'
KeyError at index: 2281, occurence number: 'historical'
KeyError at index: 2282, occurence number: 'historical'
KeyError at index: 2283, occurence number: 'historical'
KeyError at index: 2284, occurence number: 'historical'
KeyError at index: 2285, occurence number: 'historical'
KeyError at index: 2286, occurence number: 'historical'
KeyError at index: 2287, occurence number: 'historical'
KeyError at index: 2288, occurence number: 'historical'
KeyError at index: 2289, occurence number: 'historical'
KeyError at index: 2290, occurence number: 'historical'
KeyError at index: 2291, occurence number: 'historical'
KeyError at index: 2292, occurence number: 'historical'
KeyError at index: 2293, occurence number: 'historical'
KeyError at index: 2294, occurence number: 'historical'
KeyError at index: 2295, occurence number: 'historical'
KeyError at index: 2296, occurence number: 'historical'
KeyError at index: 2297, occurence number: 'historical'
KeyError at index: 2298, occurence number: 'historical'
KeyError at index: 2299, occurence number: 'historical'
KeyError at index: 2300, occurence number: 'historical'
KeyError at index: 2301, occurence number: 'historical'
KeyError at index: 2302, occurence number: 'historical'
KeyError at index: 2303, occurence number: 'historical'
KeyError at index: 2304, occurence number: 'historical'
KeyError at index: 2305, occurence number: 'historical'
KeyError at index: 2306, occurence number: 'historical'
KeyError at index: 2307, occurence number: 'historical'
KeyError at index: 2308, occurence number: 'historical'
KeyError at index: 2417, occurence number: 'historical'
KeyError at index: 2418, occurence number: 'historical'
KeyError at index: 2419, occurence number: 'historical'
KeyError at index: 2422, occurence number: 'historical'
KeyError at index: 2424, occurence number: 'historical'
KeyError at index: 2620, occurence number: 'historical'
KeyError at index: 2626, occurence number: 'historical'
KeyError at index: 3367, occurence number: 'historical'
KeyError at index: 4245, occurence number: 'historical'
KeyError at index: 4717, occurence number: 'historical'
KeyError at index: 4784, occurence number: 'historical'
KeyError at index: 5482, occurence number: 'historical'
KeyError at index: 5493, occurence number: 'historical'
KeyError at index: 5797, occurence number: 'historical'
KeyError at index: 5906, occurence number: 'historical'
KeyError at index: 6139, occurence number: 'historical'
KeyError at index: 6158, occurence number: 'historical'
KeyError at index: 6417, occurence number: 'historical'
KeyError at index: 6638, occurence number: 'historical'
KeyError at index: 6640, occurence number: 'historical'
KeyError at index: 6806, occurence number: 'historical'
KeyError at index: 6863, occurence number: 'historical'
KeyError at index: 7024, occurence number: 'historical'
KeyError at index: 7282, occurence number: 'historical'
KeyError at index: 7461, occurence number: 'historical'
KeyError at index: 7666, occurence number: 'historical'
KeyError at index: 7670, occurence number: 'historical'
KeyError at index: 7673, occurence number: 'historical'
KeyError at index: 7677, occurence number: 'historical'
KeyError at index: 7821, occurence number: 'historical'
KeyError at index: 8475, occurence number: 'historical'
KeyError at index: 8545, occurence number: 'historical'
KeyError at index: 9375, occurence number: 'historical'
KeyError at index: 9463, occurence number: 'historical'
KeyError at index: 9588, occurence number: 'historical'
KeyError at index: 9842, occurence number: 'historical'
KeyError at index: 10047, occurence number: 'historical'
KeyError at index: 10142, occurence number: 'historical'
KeyError at index: 10789, occurence number: 'historical'
KeyError at index: 10963, occurence number: 'historical'
KeyError at index: 10965, occurence number: 'historical'
KeyError at index: 11192, occurence number: 'historical'
KeyError at index: 11199, occurence number: 'historical'
KeyError at index: 11342, occurence number: 'historical'
KeyError at index: 11449, occurence number: 'historical'
KeyError at index: 11450, occurence number: 'historical'
KeyError at index: 11451, occurence number: 'historical'
KeyError at index: 11452, occurence number: 'historical'
KeyError at index: 11453, occurence number: 'historical'
KeyError at index: 11454, occurence number: 'historical'
KeyError at index: 11455, occurence number: 'historical'
KeyError at index: 11456, occurence number: 'historical'
KeyError at index: 11457, occurence number: 'historical'
KeyError at index: 11458, occurence number: 'historical'
KeyError at index: 11459, occurence number: 'historical'
KeyError at index: 11460, occurence number: 'historical'
KeyError at index: 11461, occurence number: 'historical'
KeyError at index: 11462, occurence number: 'historical'
KeyError at index: 11463, occurence number: 'historical'
KeyError at index: 11464, occurence number: 'historical'
KeyError at index: 11465, occurence number: 'historical'
KeyError at index: 11466, occurence number: 'historical'
KeyError at index: 11467, occurence number: 'historical'
KeyError at index: 11468, occurence number: 'historical'
KeyError at index: 11578, occurence number: 'historical'
KeyError at index: 11630, occurence number: 'historical'
KeyError at index: 12159, occurence number: 'historical'
KeyError at index: 12230, occurence number: 'historical'
KeyError at index: 12638, occurence number: 'historical'
KeyError at index: 12731, occurence number: 'historical'
KeyError at index: 12852, occurence number: 'historical'
KeyError at index: 12895, occurence number: 'historical'
KeyError at index: 12956, occurence number: 'historical'
KeyError at index: 13129, occurence number: 'historical'
KeyError at index: 13167, occurence number: 'historical'
KeyError at index: 13317, occurence number: 'historical'
KeyError at index: 13380, occurence number: 'historical'
KeyError at index: 13381, occurence number: 'historical'
KeyError at index: 13382, occurence number: 'historical'
KeyError at index: 13695, occurence number: 'historical'
KeyError at index: 14242, occurence number: 'historical'
KeyError at index: 14282, occurence number: 'historical'
KeyError at index: 14457, occurence number: 'historical'
KeyError at index: 14461, occurence number: 'historical'
KeyError at index: 14462, occurence number: 'historical'
KeyError at index: 14577, occurence number: 'historical'
KeyError at index: 14581, occurence number: 'historical'
KeyError at index: 14582, occurence number: 'historical'
KeyError at index: 14583, occurence number: 'historical'
KeyError at index: 14584, occurence number: 'historical'
KeyError at index: 14585, occurence number: 'historical'
KeyError at index: 14586, occurence number: 'historical'
KeyError at index: 14587, occurence number: 'historical'
KeyError at index: 14588, occurence number: 'historical'
KeyError at index: 14589, occurence number: 'historical'
KeyError at index: 14590, occurence number: 'historical'
KeyError at index: 14591, occurence number: 'historical'
KeyError at index: 14592, occurence number: 'historical'
KeyError at index: 14593, occurence number: 'historical'
KeyError at index: 14594, occurence number: 'historical'
KeyError at index: 14595, occurence number: 'historical'
KeyError at index: 14596, occurence number: 'historical'
KeyError at index: 14597, occurence number: 'historical'
KeyError at index: 14598, occurence number: 'historical'
KeyError at index: 14599, occurence number: 'historical'
KeyError at index: 14600, occurence number: 'historical'
KeyError at index: 14601, occurence number: 'historical'
KeyError at index: 14602, occurence number: 'historical'
KeyError at index: 14603, occurence number: 'historical'
KeyError at index: 14604, occurence number: 'historical'
KeyError at index: 14605, occurence number: 'historical'
KeyError at index: 14606, occurence number: 'historical'
KeyError at index: 14607, occurence number: 'historical'
KeyError at index: 14608, occurence number: 'historical'
KeyError at index: 14609, occurence number: 'historical'
KeyError at index: 14610, occurence number: 'historical'
KeyError at index: 14611, occurence number: 'historical'
KeyError at index: 14612, occurence number: 'historical'
KeyError at index: 14613, occurence number: 'historical'
KeyError at index: 14614, occurence number: 'historical'
KeyError at index: 14799, occurence number: 'historical'
KeyError at index: 14852, occurence number: 'historical'
KeyError at index: 15092, occurence number: 'historical'
KeyError at index: 15441, occurence number: 'historical'
KeyError at index: 15908, occurence number: 'historical'
KeyError at index: 16072, occurence number: 'historical'
KeyError at index: 16306, occurence number: 'historical'
KeyError at index: 16307, occurence number: 'historical'
KeyError at index: 16308, occurence number: 'historical'
KeyError at index: 16309, occurence number: 'historical'
KeyError at index: 16310, occurence number: 'historical'
KeyError at index: 16311, occurence number: 'historical'
KeyError at index: 16312, occurence number: 'historical'
KeyError at index: 16313, occurence number: 'historical'
KeyError at index: 16350, occurence number: 'historical'
KeyError at index: 16768, occurence number: 'historical'
KeyError at index: 16921, occurence number: 'historical'
KeyError at index: 17722, occurence number: 'historical'
KeyError at index: 17723, occurence number: 'historical'
KeyError at index: 17724, occurence number: 'historical'
KeyError at index: 17725, occurence number: 'historical'
KeyError at index: 17726, occurence number: 'historical'
KeyError at index: 17727, occurence number: 'historical'
KeyError at index: 17728, occurence number: 'historical'
KeyError at index: 17729, occurence number: 'historical'
KeyError at index: 17730, occurence number: 'historical'
KeyError at index: 17731, occurence number: 'historical'
KeyError at index: 17732, occurence number: 'historical'
KeyError at index: 17733, occurence number: 'historical'
KeyError at index: 17734, occurence number: 'historical'
KeyError at index: 17735, occurence number: 'historical'
KeyError at index: 17736, occurence number: 'historical'
KeyError at index: 17737, occurence number: 'historical'
KeyError at index: 17738, occurence number: 'historical'
KeyError at index: 17739, occurence number: 'historical'
KeyError at index: 17740, occurence number: 'historical'
