Symbol,Name,Market Cap,Country,IPO Year,Sector,Industry
A,Agilent Technologies Inc. Common Stock,45205576012,United States,1999,Capital Goods,Electrical Products
AA,Alcoa Corporation Common Stock ,8245635688,,2016,Basic Industries,Metal Fabrications
AAC,Ares Acquisition Corporation Class A Ordinary Shares,1223750000,,2021,Finance,Business Services
AACG,ATA Creativity Global American Depositary Shares,41417534,China,,Miscellaneous,Service to the Health Industry
AACI,Armada Acquisition Corp. I Common Stock,202538910,United States,2021,,
AACIU,Armada Acquisition Corp. I Unit,0,United States,2021,,
AACIW,Armada Acquisition Corp. I Warrant,0,United States,2021,,
AADI,Aadi Bioscience Inc. Common Stock,403672640,United States,,Health Care,Biotechnology: Pharmaceutical Preparations
AAIC,Arlington Asset Investment Corp Class A (new),114899879,United States,,Consumer Services,Real Estate Investment Trusts
AAIC^B,Arlington Asset Investment Corp 7.00% ,,United States,,,
AAIC^C,Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock   ,,United States,,,
AAIN,Arlington Asset Investment Corp 6.000% Senior Notes Due 2026,0,United States,,,
AAL,American Airlines Group Inc. Common Stock,10761691356,United States,,Transportation,Air Freight/Delivery Services
AAME,Atlantic American Corporation Common Stock,76623446,United States,,Finance,Life Insurance
AAN,Aarons Holdings Company Inc. Common Stock ,718132864,United States,2020,Miscellaneous,Diversified Commercial Services
AAOI,Applied Optoelectronics Inc. Common Stock,147407294,United States,2013,Technology,Semiconductors
AAON,AAON Inc. Common Stock,4169076946,United States,,Capital Goods,Industrial Machinery/Components
AAP,Advance Auto Parts Inc.,14145895454,United States,,Consumer Services,Other Specialty Stores
AAPL,Apple Inc. Common Stock,2.80588E+12,United States,1980,Technology,Computer Manufacturing
AAQC,Accelerate Acquisition Corp. Class A Common Stock,486500000,,2021,,
AAT,American Assets Trust Inc. Common Stock,2117126996,United States,2011,Consumer Services,Real Estate Investment Trusts
AATC,Autoscope Technologies Corporation Common Stock,34973139,United States,,Capital Goods,Industrial Machinery/Components
AAU,Almaden Minerals Ltd. Common Shares,43361965,Canada,2015,,
AAWW,Atlas Air Worldwide Holdings NEW Common Stock,2523719620,United States,,Transportation,Transportation Services
AB,AllianceBernstein Holding L.P.  Units,5015723177,United States,,Finance,Investment Managers
ABB,ABB Ltd Common Stock,70592060000,Switzerland,,Consumer Durables,Electrical Products
ABBV,AbbVie Inc. Common Stock,2.10113E+11,United States,2012,Health Care,Other Pharmaceuticals
