eps,estimate,error
8.74,7.470999999999999,1.269000000000001
0.28,0.15299999999999997,0.12700000000000006
-0.92,-0.9580000000000002,0.038000000000000145
0.34,0.32299999999999995,0.01700000000000007
0.74,0.42000000000000004,0.31999999999999995
0.09,0.186,-0.096
0.63,0.657,-0.027000000000000024
-0.17,-0.23200000000000004,0.06200000000000003
0.61,0.6,0.010000000000000009
0.09,0.096,-0.006000000000000005
0.3,1.407,-1.107
0.010485368,0.015000000000000003,-0.004514632000000003
0.45,0.8219999999999998,-0.37199999999999983
-0.18,0.20099999999999998,-0.381
0.64,0.638,0.0020000000000000018
0.91,1.057,-0.1469999999999999
-0.28,-0.33199999999999996,0.051999999999999935
4.35,4.4879999999999995,-0.1379999999999999
0.26,0.28800000000000003,-0.028000000000000025
0.01,-0.032,0.042
0.58,0.604,-0.02400000000000002
-0.2,-0.26600000000000007,0.06600000000000006
0.42,0.315,0.10499999999999998
0.56,0.6420000000000001,-0.08200000000000007
1.44,1.4969999999999999,-0.05699999999999994
1.29,1.481,-0.19100000000000006
-2.33,2.3600000000000003,-4.69
1.87,1.5769999999999997,0.29300000000000037
-0.01,-0.038,0.027999999999999997
1.6,1.6249999999999996,-0.024999999999999467
0.17,0.06800000000000002,0.102
0.69,0.487,0.20299999999999996
0.43,0.5039999999999999,-0.0739999999999999
1.05,1.05,0.0
-0.03,-0.035,0.0050000000000000044
1.65,1.557,0.09299999999999997
0.14,0.16899999999999998,-0.02899999999999997
0.75,0.764,-0.014000000000000012
-0.29,-0.09,-0.19999999999999998
-0.01,-0.025000000000000005,0.015000000000000005
1.11,1.113,-0.0029999999999998916
-0.32,-0.2919999999999999,-0.02800000000000008
1.1,1.121,-0.020999999999999908
1.03,0.986,0.04400000000000004
0.3,0.09200000000000001,0.20799999999999996
0.3,0.32700000000000007,-0.02700000000000008
0.36,0.41500000000000004,-0.05500000000000005
0.68,0.688,-0.007999999999999896
0.84,0.992,-0.15200000000000002
2.03,-0.197,2.227
0.94,0.9259999999999999,0.014000000000000012
0.94,0.986,-0.04600000000000004
0.56,0.655,-0.09499999999999997
0.71,0.655,0.05499999999999994
1.05,-1.528,2.5780000000000003
1.43,0.48199999999999993,0.948
0.42,0.45999999999999996,-0.03999999999999998
0.65,0.594,0.05600000000000005
-0.4,-0.648,0.248
0.6,0.518,0.08199999999999996
0.78,0.45600000000000007,0.32399999999999995
0.53,0.349,0.18100000000000005
0.77,0.9160000000000001,-0.14600000000000013
1.0,0.9199999999999999,0.08000000000000007
1.21,1.165,0.04499999999999993
0.64,0.548,0.09199999999999997
0.12,0.12300000000000003,-0.0030000000000000304
0.36,0.147,0.213
0.18,0.9320000000000002,-0.7520000000000002
0.01,0.052000000000000005,-0.042
0.2,0.22999999999999998,-0.02999999999999997
0.42,0.4114999999999999,0.008500000000000063
0.02,0.028000000000000004,-0.008000000000000004
0.64,1.074,-0.43400000000000005
0.4,0.364,0.03600000000000003
1.03,1.162,-0.1319999999999999
0.99,1.094,-0.10400000000000009
2.15,1.9780000000000002,0.1719999999999997
2.45,2.471,-0.020999999999999908
0.7,0.732,-0.03200000000000003
0.41,0.434,-0.02400000000000002
-0.001461,0.001841600000000001,-0.003302600000000001
-0.00298,0.019000000000000003,-0.021980000000000003
0.4,0.313,0.08700000000000002
-0.14,-0.117770295,-0.022229705000000016
0.33,0.337,-0.007000000000000006
2.2,2.194,0.006000000000000227
0.52,0.5810000000000001,-0.061000000000000054
0.63,0.632,-0.0020000000000000018
-0.18,-0.25400000000000006,0.07400000000000007
0.4,0.22700000000000004,0.173
-0.46,-0.487,0.02699999999999997
0.9,0.8659999999999999,0.03400000000000014
3.4,3.5809999999999995,-0.1809999999999996
-13.81,-9.129999999999999,-4.6800000000000015
0.95,0.983,-0.03300000000000003
0.66,0.5970000000000001,0.06299999999999994
-1.52,2.159,-3.679
0.54,0.7,-0.15999999999999992
