epsEstimated,time,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,changeOverTime,sma_5,sma_10,sma_20,ema_5,ema_10,ema_20,volatility_5,volatility_10,rsi_14,wma_5,wma_10,wma_20,lastSurp,last2Surp,lastEps,last2Eps,lastEst,last2Est,dow,month,day,year
7.31,1,360.549988,364.089996,359.0,361.01001,347.367126,37900,37900,0.46002,0.128,361.36667,0.00128,345.833,338.104,330.254,344.673,339.89,333.162,7.785,74.234,69.866,346.724,342.109,335.98,-2.0161290322580574,20.14134275618374,2.43,3.4,2.48,2.83,2,8,5,2015
0.19,0,32.549999,33.450001,32.040001,32.119999,31.293789,63100,63100,-0.43,-1.321,32.53667,-0.01321,30.876,30.537,29.901,30.959,30.576,30.151,0.154,0.383,60.592,31.047,30.803,30.246,-26.470588235294123,-5.8823529411764754,0.25,0.32,0.34,0.34,4,7,24,2020
-0.69,1,6.0,7.89,5.88,7.23,7.23,2212544,2212544,1.23,20.5,7.0,0.205,5.734,5.528,5.571,6.012,5.716,5.523,0.586,0.349,77.705,6.037,5.683,5.551,-91.66666666666666,2.857142857142844,-1.15,-0.68,-0.6,-0.7,3,11,2,2017
0.3,0,19.76,20.24,17.5,18.02,13.210584,1721100,1721100,-1.74,-8.806,18.58667,-0.08806,12.991,12.911,13.602,13.081,13.137,13.346,0.13,0.082,47.148,13.091,12.975,13.23,-11.428571428571423,-1.176470588235295,0.31,0.84,0.35,0.85,4,8,23,2019
0.35,1,40.504131,40.561981,39.190083,39.42149,39.42149,3317941,3317941,-1.08264,-2.673,39.72452,-0.02673,39.651,38.543,37.265,39.431,38.731,37.867,0.423,1.5,59.155,39.775,39.091,38.034,42.10526315789475,-16.94915254237288,0.27,0.49,0.19,0.59,3,7,31,2014
0.12,1,30.74,31.309999,30.74,31.1,24.831209,986800,986800,0.36,1.171,31.05,0.01171,24.504,24.249,24.319,24.569,24.433,24.322,0.057,0.149,60.562,24.608,24.435,24.349,46.15384615384615,80.00000000000001,0.19,0.27,0.13,0.15,2,5,4,2016
0.61,1,47.540001,47.59,45.959999,46.09,43.775784,105800,105800,-1.45,-3.05,46.54667,-0.0305,44.374,44.136,43.555,44.137,43.991,43.4,0.247,0.265,53.417,44.278,44.188,43.898,7.0175438596491295,10.909090909090898,0.61,0.61,0.57,0.55,2,10,21,2015
-0.16,0,1.15,1.17,1.1,1.13,1.13,287500,287500,-0.02,-1.739,1.13333,-0.01739,1.193,1.206,1.183,1.183,1.191,1.183,0.001,0.001,40.943,1.183,1.198,1.193,-55.55555555555558,-45.45454545454546,-0.28,-0.32,-0.18,-0.22,1,8,14,2012
0.59,0,29.32,29.860001,28.98,29.290001,25.052271,13032200,13032200,-0.03,-0.102,29.37667,-0.00102,26.39,26.133,26.033,26.274,26.201,26.143,0.086,0.154,46.344,26.358,26.271,26.079,3.5087719298245648,4.878048780487809,0.59,0.43,0.57,0.41,3,1,12,2017
0.05,1,23.24,23.53,22.8268,23.03,23.03,1361011,1361011,-0.21,-0.904,23.12893,-0.00904,23.174,22.804,22.839,23.071,22.931,22.67,0.109,0.224,55.334,23.175,23.0,22.785,-1100.0,75.0,-0.1,0.21,0.01,0.12,2,2,10,2021
1.38,1,49.34,51.380001,48.439999,50.48,49.965473,1959800,1959800,1.14,2.31,50.1,0.0231,48.54,49.269,49.463,49.104,49.097,49.1,1.062,2.565,54.973,49.005,48.85,49.322,-81.0126582278481,-5.681818181818187,0.15,0.83,0.79,0.88,2,11,4,2020
0.09,1,1.24,1.28,1.17,1.27,1.235308,48500,48500,0.03,2.419,1.24,0.02419,8.955,9.0,8.805,8.738,8.857,8.777,0.296,0.153,30.818,8.762,8.938,8.895,-100.0,-71.42857142857143,-0.12,0.02,-0.06,0.07,2,5,1,2013
0.39,1,84.339996,84.82,83.900002,84.120003,71.999008,525000,525000,-0.21999,-0.261,84.28,-0.00261,71.178,70.925,70.646,71.38,71.1,70.816,0.761,0.513,56.669,71.491,71.132,70.866,473.21428571428567,576.7123287671234,3.21,4.94,0.56,0.73,1,2,7,2017
0.22,0,37.169998,37.5,35.75,36.169998,25.319868,521700,521700,-1.0,-2.69,36.47333,-0.0269,24.017,23.834,24.077,24.265,24.049,23.955,0.442,0.301,65.213,24.293,23.962,23.974,-204.76190476190476,-107.69230769230771,-0.22,-0.01,0.21,0.13,0,5,11,2015
0.62,0,34.889999,34.950001,33.009998,34.599998,34.599998,272700,272700,-0.29,-0.831,34.18667,-0.00831,34.414,34.582,35.228,34.551,34.699,34.813,0.11,0.261,49.888,34.515,34.471,34.91,4.9180327868852505,0.0,0.64,0.6,0.61,0.6,3,1,26,2017
0.85,0,59.0,62.73,57.79,60.26,60.26,3309183,3309183,1.26,2.136,60.26,0.02136,61.972,61.536,60.926,61.486,61.413,60.439,1.357,1.104,53.021,61.676,61.665,61.34,-1.7094017094017109,28.431372549019613,1.15,1.31,1.17,1.02,1,5,7,2019
-0.31,1,14.0,14.04,12.95,13.08,13.08,1240857,1240857,-0.92,-6.571,13.35667,-0.06571,13.548,13.398,13.3,13.447,13.426,13.343,0.111,0.102,47.467,13.512,13.45,13.413,-60.0,-8.33333333333333,0.02,0.22,0.05,0.24,3,11,4,2021
4.49,0,111.16,112.79,109.75,112.11,112.11,712000,712000,0.95,0.855,111.55,0.00855,105.848,105.593,106.195,107.108,106.284,106.424,10.148,5.644,61.806,107.017,105.945,105.989,18.120805369127517,8.333333333333341,1.76,0.26,1.49,0.24,1,10,31,2017
0.26,0,16.540001,16.75,16.219999,16.33,16.33,409800,409800,-0.21,-1.27,16.43333,-0.0127,16.39,16.505,16.646,16.276,16.451,16.641,0.114,0.074,32.808,16.256,16.42,16.561,-5.555555555555546,0.0,0.17,0.22,0.18,0.22,0,7,19,2021
-0.04,1,24.02,24.02,23.13,23.3,23.3,262600,262600,-0.72,-2.998,23.48333,-0.02998,23.962,23.471,22.982,23.717,23.529,23.061,0.233,0.551,56.692,23.857,23.731,23.31,16.66666666666666,-19.99999999999999,-0.05,-0.06,-0.06,-0.05,1,8,1,2017
